Delta_mean,Delta_max,Theta_mean,Theta_max,Alpha_mean,Alpha_max,Beta_mean,Beta_max,Gamma_mean,Gamma_max,Alpha_Peak_Hz,file_id,label
1.9165509924124092e-05,6.190318520220289e-05,9.89757354989424e-06,4.293281534484732e-05,1.8663420348864536e-05,5.783732491638535e-05,3.226072584568156e-06,6.829152712132312e-06,8.065913023537855e-08,2.858382099153785e-07,11.0,mh_2021_0000628,0
1.539661292599704e-05,6.102054855790301e-05,1.1964943892154894e-05,2.643446647111061e-05,8.905353337433448e-06,1.724296622183066e-05,5.262817400428618e-06,1.0651678880778011e-05,5.4072728450710714e-08,8.551597738853198e-08,10.0,mh_2020_0000440,0
3.116602332064488e-05,6.790186822327107e-05,1.21273053139939e-05,2.1812202313967846e-05,6.370686417522083e-06,1.8298261560454536e-05,2.726465169777759e-06,3.496413176777303e-06,1.1789813662894795e-07,1.6441883512735346e-07,8.5,mh_2019_0000550,0
6.915096418372054e-05,0.0001937467757770758,8.649902093179597e-05,0.00029667948705716884,4.1207058385071666e-05,0.0001772129710702899,5.593904838786928e-06,1.3782245740791725e-05,7.016770874964671e-08,1.536220895080955e-07,8.0,mh_2020_0000501,0
5.157135312999746e-05,0.00020240293309192644,1.1084442299019766e-05,2.9200855569587462e-05,6.276447984490264e-06,1.350763146490348e-05,3.824494479159194e-06,6.0801396239952975e-06,2.7657510496037885e-07,1.0023441388457376e-06,9.5,mh_2019_0001335,0
1.0522612913160795e-05,2.208754075083227e-05,1.0718299146461911e-05,3.277442162259542e-05,1.4520888039422484e-05,7.25905133487447e-05,2.001564292538521e-06,3.3935727054719625e-06,1.1851033624636764e-07,2.184899071120482e-07,8.5,mh_2020_0000248,0
1.715775131005206e-05,4.0481657452593405e-05,9.216797287471537e-06,1.6980171107811703e-05,3.0389311702887832e-05,0.00011899631115269258,4.538976147025963e-06,1.113998891072266e-05,1.7084893959443794e-07,4.041170974686888e-07,10.0,mh_2019_0000913,0
1.820976190298667e-05,5.774701620937636e-05,1.496392980624239e-05,2.2594013912836402e-05,1.9260039485503336e-05,7.148380457579228e-05,5.309143821480977e-06,1.0568962425789916e-05,7.881022551113464e-08,3.161232294398987e-07,9.5,mh_2019_0000235,0
2.817243352236542e-05,0.00012653953272539033,4.481912400956836e-06,1.2922818586363811e-05,3.562986191575278e-06,6.068683299495229e-06,2.31224927102777e-06,3.847731520796113e-06,6.896200767926978e-08,1.360338850390955e-07,11.0,mh_2024_0004113,0
1.4841163383786673e-05,4.724016862647192e-05,6.610262638200697e-06,1.1501901394051618e-05,8.086466663777896e-06,2.5589687782059816e-05,1.8924831112873516e-06,2.7170739355246312e-06,5.265287198718943e-08,9.18379046076176e-08,9.0,mh_2020_0000110,0
2.8662116225467165e-05,0.00011811945257821663,1.1872035228159773e-05,2.2820653054875593e-05,1.4395327004622177e-05,3.6811432637801734e-05,3.108689724505453e-06,5.276698268010404e-06,8.811268557128419e-08,1.6422786470973395e-07,8.5,mh_2020_0000212,0
3.1615924340242e-05,8.017987547778275e-05,1.9042897053513067e-05,6.427637687831986e-05,1.7084862329506674e-05,5.516964649757994e-05,3.0802768195154846e-06,1.3837961836314601e-05,1.0663906406268489e-07,3.0420999879614605e-07,8.5,mh_2019_0001965,0
0.0001327867587702806,0.0005742653207014256,3.427304259102776e-05,0.00014377007305940115,1.3600580957523162e-05,3.048409360264815e-05,5.062044524651586e-06,1.0547495778152665e-05,2.7478127856805164e-07,1.283665708408773e-06,8.0,mh_2024_0003447,0
1.0502587714776062e-05,9.375846107893448e-05,3.880026468160757e-06,2.288155048858953e-05,3.0311914883378297e-06,8.921072472262281e-06,3.9315609087816046e-06,7.574495515273446e-06,1.4402542030927016e-07,8.700793256437219e-07,13.0,mh_2020_0000550,0
9.20005712856803e-06,4.1712691558022724e-05,3.4883450419037633e-06,7.623899846138346e-06,6.782555772387235e-06,4.3326208017562165e-05,2.120607891525725e-06,3.6413716118557015e-06,1.1327686948954579e-07,2.482224122101458e-07,10.0,mh_2020_0000067,0
1.884493267839034e-05,5.4318255231277455e-05,5.134843624666631e-06,9.3835594713784e-06,3.1262878055878266e-06,5.194034779622567e-06,1.6825123445937033e-06,2.226741925958625e-06,7.267359310769722e-08,1.4791450049661655e-07,8.5,mh_2019_0000849,0
3.1661488250048695e-05,0.00014589695176892844,6.300805689766938e-06,1.6437477202285725e-05,4.625781526588779e-06,7.412298895191419e-06,3.550562853811093e-06,6.5869030056912045e-06,4.927392227743991e-08,8.230854564123167e-08,8.0,mh_2019_0000855,0
4.552916739495956e-05,0.00020884621738339506,5.081817541480263e-05,0.0001405784695849603,6.386702703629294e-06,2.0646182409974988e-05,2.5942533662303903e-06,8.129815032581807e-06,7.997422100969114e-08,1.1496156064202044e-07,8.0,mh_2024_0004367,0
0.00020397775636245914,0.0005420690896970645,4.126074966266786e-05,9.805613185257393e-05,7.72220909327489e-06,2.762549923303594e-05,7.287338892149181e-06,2.120779404274538e-05,7.396117041300093e-07,3.3013153003255347e-06,8.0,mh_2019_0000902,0
9.434258461448666e-05,0.0004545575005693691,2.4996676738175463e-05,8.240453535500752e-05,1.721160237695245e-05,5.9890702192013246e-05,6.106811123377664e-06,1.1160214453865754e-05,3.5508668537010854e-07,9.730980523035918e-07,8.5,mh_2019_0001058,0
0.00021631319230843772,0.0004548940993608158,3.4744560573104115e-05,6.398974677296603e-05,1.6658633229847517e-05,6.768983459722927e-05,7.32526105338523e-06,1.5407008759145065e-05,2.0377617981300562e-07,3.295235884251262e-07,10.5,mh_2019_0002216,0
8.125481567738892e-06,2.5816480709288346e-05,3.4481240867966565e-06,1.0911780890270033e-05,1.6731588582712436e-06,3.4362984587228195e-06,1.5593225201795022e-06,2.5981099755709816e-06,6.896935800478664e-08,1.2951509430785818e-07,8.0,mh_2019_0001549,0
3.073867535247693e-05,0.00012584235816368334,1.5670484750033836e-05,6.228912057319416e-05,2.5364749578806265e-05,0.00012015624818818782,3.139732817824908e-06,4.992396615762588e-06,9.398726137871255e-08,1.528129537280144e-07,9.5,mh_2019_0001444,0
8.894960421100259e-05,0.00043836565941298875,1.7771726666954792e-05,5.27888827864173e-05,4.485222792259653e-06,7.334813403694934e-06,2.91936374205265e-06,3.962446753222784e-06,1.1091034228948055e-07,2.0950424681464276e-07,8.0,mh_2019_0001196,0
0.00065866264496702,0.0011758962947590597,0.00015488711110822942,0.00028161687044971474,4.990496592656017e-05,8.264892303735365e-05,2.7498977010483875e-05,4.8879797834001024e-05,1.305580361972948e-06,3.5909517825308815e-06,8.0,mh_2019_0000299,0
3.18003447071356e-05,0.00011639313789377525,7.275062068851503e-06,1.3064944323012414e-05,3.5109935172808084e-06,6.865741951234708e-06,1.36323759062014e-06,2.200321606874204e-06,6.844082332483874e-08,1.343915106491128e-07,11.0,mh_2020_0000632,0
2.971334960592746e-05,6.590649488954302e-05,1.1013111839220593e-05,2.04867625224932e-05,2.3187701646111637e-05,5.3610646715960755e-05,4.22187879815525e-06,7.643756296833195e-06,1.4336800663532152e-07,2.3825384937214564e-07,10.0,mh_2020_0000199,0
0.00016141823324537845,0.0003393256344701568,5.029461264909653e-05,9.148685546531603e-05,8.323053549800532e-06,2.3802639707153935e-05,3.3173164032151687e-06,6.974942613857567e-06,1.1454612437957415e-07,2.0203275157185454e-07,8.0,mh_2024_0003745,0
8.193501890033684e-05,0.0004972604325725851,2.0111218489599986e-05,9.005290866635402e-05,1.048283605819381e-05,1.7246400511981203e-05,6.362105965394858e-06,9.289912794852131e-06,3.127915271373153e-07,5.9700757165492e-07,9.0,mh_2020_0000881,0
0.00014217135288451137,0.0006003402057070192,3.8816072470582347e-05,8.899515324179773e-05,1.3064930267959501e-05,2.2116342329883942e-05,6.443360588217178e-06,1.6251575588659486e-05,2.3456552368548952e-07,3.8632202017749883e-07,11.5,mh_2020_0000675,0
5.7016806027340484e-05,0.00020324423247506453,1.4164803045696166e-05,4.261883420171716e-05,6.833891490680449e-06,2.6797491273601055e-05,2.6760326915727874e-06,7.929133786461918e-06,6.190390739641329e-08,9.924157749738617e-08,10.5,mh_2019_0000101,0
1.559440671027708e-05,3.645912225722371e-05,4.530780310664392e-06,9.485323531191576e-06,2.558995116376746e-06,4.122141760483269e-06,2.6348386941843073e-06,4.689547268669046e-06,1.3019070416917717e-07,2.1493766201813517e-07,8.0,mh_2019_0000571,0
0.0002580474924489891,0.0012600774840102655,8.363294749520384e-05,0.00039814534460232723,1.3768941705973979e-05,4.464896234735906e-05,3.890027945063551e-06,9.691535480607166e-06,1.7581826252908104e-07,5.261688263942915e-07,8.0,mh_2024_0003243,0
2.595606496533336e-05,0.00011266275486790035,9.224677624029225e-06,3.5625251249230234e-05,2.683378933291229e-06,6.628813117260641e-06,2.6570963771727526e-06,6.547181011962367e-06,1.441980992540272e-07,4.0853503763245004e-07,8.0,mh_2019_0002044,0
5.271610317629602e-06,1.064675856936103e-05,5.239932745271627e-06,1.3746811104759123e-05,1.6188334877968832e-05,7.216177818433334e-05,4.272118752007185e-06,1.2914581805347776e-05,6.562323306579002e-08,1.1890690238877904e-07,9.5,mh_2020_0000475,0
4.226268997374605e-05,0.0001235562869493751,1.2983664269026665e-05,3.724974172378723e-05,1.1209329349747358e-05,5.526784426797049e-05,2.0696934475893904e-06,5.422419680221812e-06,5.303874313855895e-08,8.810317406199777e-08,10.0,mh_2020_0000239,0
5.757553558278573e-05,0.00024361475381382756,1.4861531124818224e-05,4.783560158887917e-05,3.852351756347636e-06,1.2026227584061574e-05,1.1804926483330671e-05,7.751762814007466e-05,1.2073775501041723e-06,9.542273835368973e-06,8.0,mh_2019_0001192,0
0.00010191523090904807,0.0004585857064515775,2.0508633672540578e-05,8.671250514630168e-05,3.01867114456713e-06,6.8970945572209494e-06,2.4240534760054574e-06,4.09218977958258e-06,2.125094725243029e-07,3.0759549642353733e-07,8.5,mh_2021_0000353,0
0.00015028985759350398,0.0007280389467464357,2.294276185380429e-05,8.391780646198162e-05,3.6096308618899386e-05,0.0001693954515483072,4.549696788696285e-06,9.379382334462424e-06,1.7475437944459156e-07,3.4099394191411466e-07,10.5,mh_2020_0001048,0
6.620519243284205e-06,2.923242722109525e-05,2.3720750183644947e-06,6.961180812616601e-06,4.086650454889139e-06,1.0371179201027621e-05,1.738601660208704e-06,3.4373150940091954e-06,1.2723650768838196e-07,2.813040629039156e-07,9.5,mh_2020_0000303,0
7.353124529654752e-06,2.4506093121530468e-05,3.3129687952976324e-06,6.6395703304967675e-06,1.564963670932536e-06,2.4050438556140445e-06,6.544858215678285e-07,1.0287862527798996e-06,3.1625940828936296e-08,6.67165006108045e-08,8.5,mh_2019_0002092,0
7.145488472062247e-05,0.00045427650726911456,1.2017232913534483e-05,5.092699502242519e-05,3.6804029516701002e-06,8.415618826360275e-06,5.191513440871312e-06,1.2397661755820945e-05,4.981691012167562e-07,1.2852015932709677e-06,8.0,mh_2019_0002158,0
1.9959700315782077e-05,6.516604495960993e-05,3.6429457909421066e-06,7.5894804062144385e-06,5.577592133615133e-06,1.4095812563722759e-05,1.7081439553718524e-06,2.7612225287804294e-06,5.752159177067804e-08,1.8332254542987404e-07,10.5,mh_2019_0000724,0
6.274502346799911e-06,1.7106956537398214e-05,2.8674050853028956e-06,4.330889132937601e-06,7.434612152184693e-06,2.2867035376928576e-05,2.2668669512443456e-06,3.1333181206083046e-06,9.99317380679842e-08,2.1964005473094836e-07,10.5,mh_2018_0000038,0
7.94358765611198e-06,2.0674137993437537e-05,3.934234069633097e-06,1.0656298821556733e-05,1.5362681029763294e-05,7.235181071940728e-05,1.2441030045888888e-06,2.430789862260954e-06,5.83521727687626e-08,1.3923909722428636e-07,9.5,mh_2024_0003539,0
2.6386880120044008e-05,6.215983829159201e-05,2.1819218796471164e-05,3.39630874697351e-05,2.5510422795155248e-05,7.51690114278562e-05,5.758873735567e-06,7.973878844259682e-06,1.3984303434420468e-07,3.1477052666404266e-07,10.0,mh_2020_0000542,0
6.38439892094085e-05,0.0003299543941579501,1.2541500842318601e-05,5.755689926369977e-05,1.0584989001540452e-05,3.277121380919826e-05,1.8455026053867876e-06,4.062689600603451e-06,5.1807501762664634e-08,9.997201531474903e-08,10.5,mh_2019_0001758,0
5.956966598117393e-05,0.0003902102850350194,1.172190846617612e-05,5.632197555696594e-05,9.594571375227991e-06,2.9473074847978558e-05,3.693820857392641e-06,8.218826270654546e-06,1.9919501206866194e-07,5.803409282547614e-07,10.0,mh_2024_0003816,0
1.1241859274864727e-05,6.690248357642123e-05,3.7288837807932116e-06,1.1287527192818587e-05,6.952493232357841e-06,3.066154844608666e-05,3.6985992072568465e-06,6.870135125154265e-06,1.6851475809506173e-07,4.94006037597212e-07,9.5,mh_2019_0002413,0
5.524924696160405e-05,0.00018342880012867067,1.8878727901173447e-05,3.0128076443470335e-05,5.148463868761899e-06,9.364380512014176e-06,5.170858310389273e-06,2.308988768826704e-05,4.183683591418717e-07,3.6522292162088644e-06,8.0,mh_2020_0001077,0
0.0001604883994266612,0.0005651851791986896,3.862868351569757e-05,0.00020545971706843508,1.687710135567421e-05,5.578623648126962e-05,1.3026566600752457e-05,4.23325378047337e-05,1.3433384775099137e-06,4.578234526434486e-06,8.0,mh_2019_0001488,0
5.49816809658085e-06,1.2697799938492715e-05,2.9504588434578614e-06,7.488576950150104e-06,5.313527697358304e-06,2.0473952184003196e-05,1.132456769575568e-06,1.5994589801237278e-06,3.833667585798261e-08,7.191967488014675e-08,10.0,mh_2020_0000408,0
4.327091560548261e-05,0.0001267096788097588,1.3704083140315553e-05,3.0078158084320996e-05,6.959205282402232e-06,3.652776736547702e-05,2.248585867963704e-06,4.319723518737997e-06,1.1678935363561843e-07,2.566208494204815e-07,9.5,mh_2019_0001995,0
1.836262590177565e-06,2.6575990164423824e-06,2.479386073548305e-06,5.313788128742724e-06,7.90581770958252e-06,2.365275639138128e-05,1.7061664486597302e-06,3.1149729015459357e-06,9.990500112572614e-08,4.86828264872868e-07,9.5,mh_2024_0003653,0
0.0001501258671222591,0.0004028112158016705,5.975174119154762e-05,0.00010722578726561932,2.1390123757934626e-05,6.29244071591284e-05,1.0059117252061492e-05,1.3437402147127095e-05,6.362085263917798e-07,1.1441607403596043e-06,8.5,mh_2020_0000789,0
0.0001804211592583857,0.0006873472010209275,5.804430382427227e-05,0.0003125307088209221,1.6993787043278994e-05,6.742098554482407e-05,7.493415742745978e-06,4.579538845370951e-05,2.1181282020079827e-07,1.1980034506041626e-06,9.0,mh_2024_0004416,0
4.4621372447442955e-05,0.00019530627784894144,7.377197859864141e-06,2.7894866449331348e-05,3.4179704708941186e-06,7.721209650452026e-06,1.474409288919277e-06,3.135447932311332e-06,4.115011239745562e-08,6.279907982068304e-08,10.0,mh_2020_0000081,0
8.628222052893116e-06,3.6702054490060205e-05,2.804130696465993e-06,7.130740118355493e-06,5.170801013538319e-06,2.2861806139630927e-05,6.287374923176363e-06,9.109955509351173e-06,8.645891349231747e-08,1.3888212432783255e-07,10.0,mh_2019_0000765,0
3.053046924037964e-05,0.00010933787598309819,1.4379914195838028e-05,3.389701582992387e-05,2.939100118361472e-05,0.0002282103621554819,3.814112011122219e-06,9.271588223096969e-06,9.118162540699961e-08,3.0891689383822994e-07,10.0,mh_2019_0002305,0
4.019529667249321e-05,0.00017331729646289808,1.4398389623573419e-05,5.91795988177911e-05,8.54377957238679e-06,1.558289607303477e-05,3.822176966955022e-06,6.950953817005074e-06,9.019533333591077e-08,1.9371570391664338e-07,8.0,mh_2022_0000294,0
5.662502921613924e-05,0.0001458709494521448,2.0352770797332954e-05,5.663386175273499e-05,9.592732694750021e-06,2.313608193867089e-05,7.172310063391736e-06,1.8096064231808827e-05,7.818029583200699e-07,2.647124577684311e-06,8.5,mh_2019_0001651,0
0.00014707884661769774,0.00029676775600555967,2.7999507305400376e-05,5.183939340660462e-05,2.5824786307442896e-05,9.219112280630458e-05,4.195256369298854e-06,8.222691063912592e-06,2.061117332668499e-07,4.423288293790749e-07,10.0,mh_2019_0000638,0
5.0646654442995384e-05,0.00021841965622625275,1.085765675673833e-05,3.582145867440605e-05,1.0158285237802472e-05,3.177455153340547e-05,4.355630672700492e-06,8.360073178211166e-06,1.5545250177944628e-07,4.555786817102257e-07,10.0,mh_2020_0001223,0
1.815466034953901e-05,8.515717769165594e-05,7.902774609329126e-06,2.0710684099823156e-05,3.635919995841918e-06,7.602120481769529e-06,2.9723934664865356e-06,7.052104690158585e-06,1.686939572734003e-07,6.525353998283126e-07,8.0,mh_2024_0004328,0
1.8608534741362144e-05,5.561249809470936e-05,4.193785016292574e-06,1.0364143971304328e-05,5.767214789264634e-06,2.788967736008853e-05,2.309681499469846e-06,3.6694598340763354e-06,1.7933996767063315e-07,4.7433988035525693e-07,10.0,mh_2019_0000021,0
2.0162659587282e-05,8.515326936202532e-05,1.1068562140209557e-05,2.774431691047029e-05,1.5025960745180509e-05,7.58360677202598e-05,3.3751182469523674e-06,5.682375182357196e-06,8.183031088380508e-08,1.7037558251334605e-07,10.0,mh_2019_0002355,0
0.00036803219784628744,0.001662916557837746,5.6598556392069776e-05,0.00019584910537233258,1.3948476578941271e-05,3.171698915387896e-05,6.640823628109729e-06,1.6245981010817632e-05,3.9303638589172383e-07,8.48907345731221e-07,8.0,mh_2020_0001178,0
6.47714220044161e-06,1.7158396363738164e-05,4.593688262727942e-06,9.040037533299654e-06,1.98867130932232e-05,7.132678205174295e-05,2.9199194620040944e-06,5.070309436026381e-06,7.285812768670928e-08,9.746182935156624e-08,9.5,mh_2019_0002247,0
3.4271097040650124e-05,0.00011743227711435471,8.106053206890606e-06,1.563715731012992e-05,2.8491078286836234e-05,0.00011558652917448921,2.600159221945361e-06,6.46268300065073e-06,9.675564466790523e-08,3.1718905036728306e-07,9.5,mh_2019_0000414,0
5.40049472902128e-05,0.00016834954619449793,1.7169316053056835e-05,5.236247798259121e-05,2.047464489669987e-05,9.008498241324006e-05,4.056481952171134e-06,9.629612050562884e-06,1.2796526358769284e-07,3.690297506465579e-07,10.0,mh_2019_0002397,0
3.3818366106472294e-05,0.0001183327387567133,9.047186815482842e-06,3.033060256463256e-05,4.9132458025182755e-06,1.3358262636122604e-05,1.7013708513639857e-06,3.4084735357522604e-06,7.313827171854438e-08,1.5879265185036188e-07,9.5,mh_2019_0000542,0
9.556078231193618e-06,5.6973800853335035e-05,3.365465477627147e-06,7.265800755328163e-06,1.5691741972398967e-06,3.318858862294067e-06,1.3773318726900618e-06,3.277332744701092e-06,7.379740852013061e-08,2.0885359090184092e-07,8.0,mh_2020_0000879,0
7.501442998070493e-05,0.00020349435351407871,2.276515680352145e-05,4.38152750895085e-05,1.0051740228781764e-05,3.2875173145400354e-05,2.868969455268834e-06,4.266927830012965e-06,1.1943526464621881e-07,2.883356918666383e-07,8.0,mh_2019_0000018,0
2.477351327611162e-05,9.0205759715831e-05,1.524327674333711e-05,3.450545224181311e-05,1.0617945668802021e-05,2.4610967189239732e-05,2.939019403174453e-06,4.244510367811722e-06,1.319363120997957e-07,2.6616451129038127e-07,8.5,mh_2019_0001710,0
0.00012968236757925793,0.0004930780333240123,5.32226650858361e-05,0.000286820968496008,1.4376234934977057e-05,3.859147608613549e-05,1.2510128410570914e-05,3.5175500636561444e-05,8.324898427540218e-07,2.5193158137975144e-06,10.5,mh_2021_0000048,0
3.100362833277149e-05,7.131625405696441e-05,2.1125998103958365e-05,4.365589964152433e-05,2.5171618435767715e-05,6.752659931573021e-05,3.8124082581724807e-06,6.347608898435247e-06,1.3524045113064806e-07,2.3565534783221653e-07,9.0,mh_2019_0001988,0
0.00011679803436581086,0.0003972812138293249,3.2038465197447845e-05,5.45857684579204e-05,2.5203177391699904e-05,0.00016138145961402074,4.894539792618594e-06,1.3359509215041624e-05,2.5795499296843644e-07,1.3230095363790305e-06,9.5,mh_2019_0000793,0
0.00016297082050993774,0.0004959122133980285,4.3668381447368445e-05,8.540800315032701e-05,2.4528180249994885e-05,6.0733142686737144e-05,6.629387629973079e-06,1.548250724861553e-05,2.5297200272395306e-07,4.5862460067853435e-07,10.5,mh_2021_0000026,0
7.732790488707385e-05,0.00023830320080528685,2.3625810660070496e-05,7.758235492159445e-05,1.5167146911006134e-05,4.8585593028179755e-05,4.6879270935429595e-06,1.0118817947278595e-05,2.5597215157801994e-07,7.54600306909119e-07,9.5,mh_2022_0000261,0
0.00018980521029249853,0.0027553694824710893,5.5439705773478846e-05,0.0006893774716791065,2.6754505864729447e-05,0.0002945801166452516,1.3154344720099852e-05,0.00018056365696374603,5.071451012858054e-07,7.203264240107175e-06,8.5,mh_2024_0003630,0
4.1529906991472285e-05,0.00025241421906465613,8.293151472137012e-06,2.5827032870799092e-05,1.3061258187404705e-05,7.656927465013623e-05,2.040085963924133e-06,3.5490768358265826e-06,7.930241708447524e-08,1.5983305833674438e-07,9.0,mh_2021_0000661,0
1.9502164431335437e-05,5.167177417624142e-05,9.205951135165371e-06,2.2684623939265124e-05,2.530193421938294e-05,0.00012627678085179575,3.1590983482628575e-06,9.59492703719395e-06,5.9221796357554445e-08,1.0894289583480089e-07,9.0,mh_2019_0000389,0
4.9629949313720964e-05,0.00016147751794083783,1.7677427562284938e-05,4.03816188378403e-05,4.151193627025257e-06,9.308440208174957e-06,1.924568091174154e-06,2.9285769257404176e-06,8.162616887130701e-08,1.543400348084946e-07,8.0,mh_2019_0000659,0
0.00047328338735743976,0.0019004227824968788,8.510573567458544e-05,0.00033108048332965774,2.4861961768003672e-05,9.776192468834079e-05,1.3805038893828473e-05,5.1178979050701036e-05,6.149728441170482e-07,2.242513735185893e-06,9.0,mh_2022_0000082,0
0.0017261113923454704,0.004761858517202491,0.0003479201406640343,0.0009668896625630818,0.00010796104672395934,0.00029623961508579036,5.831895449931178e-05,0.0001631224661943238,2.4272648521302334e-06,7.622965309500624e-06,8.0,mh_2019_0000198,0
2.6940488969631308e-05,9.544829213857388e-05,1.110943229976483e-05,1.707328191036029e-05,2.3340384811661892e-05,8.491489802942828e-05,4.794946902613667e-06,7.62951791031339e-06,1.8398566975128856e-07,3.7875502590470265e-07,10.0,mh_2019_0000056,0
0.0003576227782901966,0.001644779324307542,7.987995936725081e-05,0.0002539260197117576,1.5676426370745883e-05,5.0810087272272264e-05,3.949251220459033e-06,7.80218366040347e-06,1.1176898875883468e-07,1.940410122306077e-07,9.0,mh_2020_0001129,0
5.7884295202496864e-05,0.0001629735370045196,2.1250589015394356e-05,7.547781971283145e-05,2.717235078200934e-05,0.00014355625278343205,5.247561539168656e-06,1.1338806575273658e-05,1.813123503516045e-07,7.0324142685331e-07,9.0,mh_2019_0001997,0
0.00048411241851877197,0.0023786847158368445,8.795587028782982e-05,0.00026803036558703406,1.9713195093036343e-05,4.9733946938337686e-05,6.194329965008998e-06,1.404476671976569e-05,1.6446873426239072e-07,2.424619459911109e-07,8.0,mh_2021_0000765,0
6.141053201087205e-05,0.0001873223330187675,1.655557540190387e-05,4.4897876045710584e-05,8.629294721554283e-06,1.9004417461827557e-05,2.7411328930622397e-06,4.799333755562153e-06,8.45611044654162e-08,1.3314660211750388e-07,10.5,mh_2020_0000011,0
1.9966521265780897e-05,5.464812509780035e-05,7.104054480311497e-06,1.1996091490256912e-05,1.2212442887769745e-05,4.272104063016135e-05,1.8034905788479912e-06,3.523788391079713e-06,8.50154738394203e-08,3.8302543548256803e-07,9.5,mh_2019_0001544,0
8.12077127198668e-06,1.7514356216972967e-05,5.022418543200779e-06,1.1012712232655498e-05,1.7889565928720662e-05,6.957728246059562e-05,1.6092215733375128e-06,3.218301494914025e-06,3.8590513921134663e-08,7.781897611399963e-08,10.0,mh_2024_0004397,0
5.249644289623598e-05,0.00014350020772920696,1.2398062873523134e-05,5.8388930405277565e-05,4.344784967913758e-06,1.718770631100514e-05,4.499110285045415e-06,9.131257699798136e-06,2.2428288991713103e-07,4.520816083558264e-07,8.0,mh_2024_0004324,0
1.3819063884818618e-05,4.457387456519633e-05,7.3662174352186486e-06,1.517557251324195e-05,1.1795726351751184e-05,4.296525455426621e-05,1.9323266553995238e-06,3.344913913828068e-06,6.721511684148327e-08,1.4628553321145187e-07,9.5,mh_2020_0000066,0
2.244031773047302e-05,0.00010528835989655289,6.159683627202363e-06,2.1044247718017672e-05,4.930660251857761e-06,1.528259534071015e-05,1.2576978492939373e-06,1.8690010112786427e-06,4.1148151428232506e-08,9.709476338534787e-08,9.5,mh_2019_0000870,0
9.856576996427688e-06,2.3749413841460835e-05,1.1425179444747064e-05,2.929866871154361e-05,1.1225474880178217e-05,3.2958540068125826e-05,1.857388478666811e-06,4.086983880983132e-06,5.330466283668398e-08,1.4273726864951604e-07,10.0,mh_2020_0000491,0
