file_id,duration,n_flat_channels,alpha_peak,SNR_proxy_delta
mh_2021_0000224,1809.995,22,8.0,0.0001407041190033668
mh_2020_0000079,788.995,22,9.5,3.349448211571931e-05
mh_2019_0001218,659.995,21,8.5,1.3046971695139812e-05
mh_2019_0001946,900.995,22,9.0,1.426204102743556e-05
mh_2020_0000896,1799.995,22,9.5,5.089352563975472e-05
mh_2024_0004220,1071.995,22,8.0,4.718516869695676e-05
mh_2020_0000547,1087.995,22,9.5,0.0001168039651678295
mh_2019_0002449,783.995,22,10.5,4.652008137581404e-05
mh_2019_0002034,1230.995,22,10.5,6.035901530866091e-06
mh_2019_0002038,792.995,22,8.5,0.0001138401104619549
mh_2019_0002460,797.995,22,9.5,2.6609261431683097e-05
mh_2019_0000825,714.995,22,8.0,2.4992887337284122e-05
mh_2019_0002175,782.995,22,9.0,3.745401462428967e-05
mh_2024_0003704,668.995,22,8.0,0.00012237481023854405
mh_2020_0000352,875.995,22,12.0,7.967649665975855e-05
mh_2022_0000328,1804.995,22,8.0,6.024011338201655e-05
ffh_2024_0000267,1509.995,22,9.0,4.163512005344814e-05
mh_2019_0002361,1490.995,22,10.0,5.846032919460195e-05
mh_2021_0000491,1502.995,22,10.5,7.106210690064088e-05
mh_2020_0001163,1740.995,22,8.0,1.666065987916693e-05
mh_2020_0000663,1539.995,22,8.0,9.487369188460801e-05
mh_2019_0001649,739.995,22,8.0,1.456546636888563e-05
mh_2019_0000155,683.995,21,9.0,1.9334090455804005e-05
mh_2019_0000701,759.995,22,8.5,3.1137800884558145e-05
mh_2019_0000199,783.995,21,9.5,7.50531363836589e-05
mh_2021_0000537,1014.995,22,8.0,0.0001338067800924898
mh_2020_0000771,1805.995,22,8.0,0.00014556638202566625
mh_2024_0003762,1416.995,22,8.0,6.267923994649479e-05
mh_2020_0001134,1800.995,22,8.5,2.0122037552288693e-05
mh_2024_0003811,871.995,22,8.5,3.1611761653383144e-05
mh_2019_0001381,779.995,22,10.0,1.476371111104569e-05
mh_2024_0004082,1087.995,22,9.0,3.609816186967337e-05
mh_2022_0000392,899.995,22,8.0,0.00011369423220267335
mh_2019_0001739,662.995,22,9.0,6.456884183051885e-05
mh_2019_0001725,663.995,22,8.0,3.3140258300644536e-05
mh_2019_0000521,859.995,22,8.0,1.8307799705037762e-05
mh_2020_0000945,1556.995,22,10.5,7.43652530807107e-05
mh_2022_0000153,1199.995,22,8.0,6.706255688320581e-05
mh_2024_0003824,747.995,22,8.5,2.539674917152239e-05
ffh_2024_0000243,1240.995,22,8.0,1.1168506736038198e-05
mh_2020_0000148,901.995,22,8.5,1.738530460827009e-05
mh_2024_0004189,1080.995,21,9.0,0.0002421096838749042
mh_2020_0000587,950.995,22,10.5,4.4635515066062706e-05
mh_2024_0003508,1029.995,22,8.5,0.00024353351020820784
mh_2020_0000812,1799.995,22,9.0,3.028572256410263e-05
mh_2019_0000597,788.995,22,9.0,8.309178753581454e-06
mh_2020_0001095,1463.995,22,8.5,3.262511917920779e-05
mh_2019_0001910,770.995,22,10.5,1.0645591247244456e-05
mh_2020_0000325,1074.995,21,9.5,1.3502093329086784e-05
mh_2020_0001006,1810.995,22,8.0,1.4535922512275465e-05
mh_2019_0000885,758.995,22,10.0,3.2672468125312814e-05
mh_2019_0000516,751.995,22,9.0,1.2641599594609582e-05
mh_2021_0000161,1662.995,22,10.5,2.3896212420255864e-05
mh_2021_0000378,1722.995,22,8.0,0.0001382938578054734
mh_2020_0000842,1799.995,22,8.0,3.7972994752385046e-05
mh_2022_0000027,1265.995,22,10.5,0.00012332831692525584
mh_2019_0002141,830.995,22,10.5,8.810342485407257e-05
mh_2019_0000469,1080.995,22,8.5,6.626110600936771e-05
mh_2020_0000142,907.995,22,9.5,1.057392497704859e-05
mh_2024_0003962,1359.995,22,9.5,7.627239556425041e-06
mh_2021_0000585,1802.995,22,10.5,7.264082938961513e-05
mh_2021_0000093,1799.995,22,8.5,0.0005352822640969458
mh_2024_0004426,1004.995,22,8.0,4.0318116857569705e-05
mh_2019_0002277,930.995,22,8.5,1.8013207986294157e-05
mh_2021_0000706,1390.995,22,8.0,3.3390014657625866e-05
mh_2020_0000564,1720.995,22,8.5,1.9480167209338257e-05
mh_2019_0001809,759.995,22,8.0,9.283430913308426e-06
mh_2019_0000824,917.995,22,11.0,8.319555647677882e-05
mh_2019_0000925,677.995,22,9.5,2.4667255222643203e-05
ffh_2024_0000193,1231.995,22,10.0,2.29325039698607e-05
mh_2020_0000947,1803.995,22,11.0,9.092735878323743e-06
mh_2024_0004104,830.995,20,8.0,0.0006568590175699725
mh_2020_0000389,879.995,22,8.0,1.54427080198005e-05
mh_2020_0000058,810.995,22,8.0,3.086255815124856e-05
mh_2020_0000704,1802.995,22,8.0,3.891605901840441e-05
mh_2020_0000220,784.995,22,10.0,9.344472209844683e-06
mh_2021_0000250,965.995,22,10.0,4.481692809373254e-05
mh_2020_0001186,1503.995,22,8.5,1.305888925905629e-05
mh_2020_0000471,699.995,22,9.5,8.96657497102999e-05
mh_2019_0002133,764.995,22,10.0,1.3325132531011302e-05
mh_2024_0003288,901.995,22,8.5,2.937954091712126e-05
mh_2018_0000074,664.995,22,8.0,2.527405986739903e-06
mh_2020_0001212,1724.995,22,8.0,8.551031633194004e-05
mh_2021_0000028,1543.995,22,8.0,0.00022026587523506658
mh_2020_0000329,757.995,21,9.0,2.068317125587032e-05
mh_2019_0000434,1160.995,22,9.5,4.5843967162743245e-05
mh_2021_0000311,1499.995,22,8.0,4.512770112826083e-05
mh_2024_0004067,1154.995,22,9.0,2.575101551391812e-06
mh_2020_0000394,996.995,22,9.5,3.619798351380333e-06
mh_2020_0000488,1270.995,21,8.0,0.0003985426071276708
mh_2022_0000169,1199.995,22,9.5,2.7333458904035778e-05
mh_2022_0000028,1439.995,22,9.5,3.328826473034127e-05
mh_2024_0003694,1020.995,22,8.5,3.692428658518326e-05
mh_2019_0001582,747.995,22,8.5,6.379766412472486e-05
mh_2024_0004218,1305.995,22,8.0,9.075064816441848e-05
mh_2024_0003362,989.995,22,9.0,4.985043063417507e-06
mh_2024_0003995,779.995,22,9.5,3.2741583573129015e-06
mh_2020_0000516,870.995,22,9.5,2.0958736694477653e-05
mh_2022_0000292,1208.995,19,8.0,0.0008053628422969438
ffh_2024_0000192,1672.995,22,9.0,0.00018723834750762166
mh_2020_0000140,1182.995,22,10.5,1.4506716359375966e-05
mh_2019_0001318,985.995,22,9.5,3.1275477790303816e-05
mh_2019_0002320,781.995,22,8.0,0.00039701974514265464
mh_2019_0000048,724.995,22,9.0,1.2022192694817525e-05
mh_2024_0003521,1199.995,21,8.0,6.936591061997364e-05
mh_2024_0003691,881.995,22,9.5,3.840442369682512e-05
mh_2019_0000553,678.995,22,8.0,1.0313463576800354e-05
mh_2024_0004140,1082.995,22,8.0,0.00018223584928557767
mh_2019_0001786,882.995,22,8.0,0.0001789513029232448
mh_2020_0000665,1538.995,22,9.0,2.238926778704651e-05
mh_2019_0002139,905.995,22,8.0,0.0001141090874884436
mh_2020_0000642,900.995,22,8.5,8.170572978686767e-05
mh_2019_0001973,959.995,22,9.0,3.2311577838869225e-05
mh_2019_0001864,684.995,22,9.5,1.887125235538541e-05
mh_2020_0001256,1200.995,18,8.0,0.001126012454515735
mh_2020_0001238,928.995,22,8.0,8.077748139918412e-05
ffh_2024_0000005,1250.995,22,8.0,7.758839134554425e-06
mh_2019_0002174,983.995,22,9.0,9.882599948068144e-05
mh_2019_0000570,719.995,22,10.0,1.096206202301057e-05
mh_2020_0000200,727.995,22,8.0,0.00029392802403151695
mh_2024_0003262,960.995,22,8.5,4.5361168764907034e-06
mh_2020_0000970,1800.995,22,8.0,2.1295204424315724e-05
mh_2019_0001429,1425.995,22,8.0,7.80161892511167e-05
mh_2024_0003809,1811.995,22,9.5,1.104761346672944e-05
mh_2020_0000388,1100.995,22,9.0,2.221696085737536e-05
mh_2019_0001918,722.995,22,9.5,2.521113877955744e-05
mh_2019_0002103,989.995,22,9.0,9.46739325502123e-06
mh_2019_0000619,897.995,22,8.0,0.0001367932018292127
mh_2020_0000514,1199.995,22,8.0,3.268315964730355e-05
mh_2021_0000061,1739.995,22,10.0,0.00025509152926683087
mh_2019_0000612,728.995,22,9.5,2.1982301008609542e-05
mh_2019_0001296,851.995,22,9.5,2.5652061740680762e-05
mh_2019_0001784,738.995,22,8.5,6.132424239639022e-05
mh_2019_0000289,724.995,22,11.0,1.1881839279549159e-05
mh_2022_0000142,1436.995,22,10.0,1.1455486118405517e-05
mh_2020_0000109,878.995,22,9.0,5.456712306160517e-05
mh_2021_0000637,1659.995,22,8.0,8.088614836513029e-05
mh_2020_0001248,1739.995,22,8.0,3.9222864923280314e-05
mh_2021_0000100,1805.995,22,10.0,4.998946173975601e-05
mh_2019_0000883,754.995,22,10.0,2.535343945321382e-05
mh_2019_0001383,831.995,22,11.0,3.8037847319325104e-05
ffh_2024_0000169,1637.995,22,8.0,2.8034507553181216e-05
mh_2019_0002374,820.995,22,9.5,3.255868060352749e-05
mh_2019_0000991,659.995,22,9.0,4.153232361667844e-05
mh_2020_0000236,981.995,22,8.0,0.0004489019863787086
mh_2019_0002017,1093.995,22,8.0,0.00012312645885256365
mh_2019_0001465,883.995,22,9.5,1.7401875481004317e-05
mh_2019_0001890,729.995,21,10.0,1.545410206010221e-05
mh_2024_0003638,1259.995,22,9.5,3.521738127711535e-05
mh_2019_0001508,1125.995,22,8.5,0.00011825302321243711
mh_2024_0003542,1118.995,22,8.5,1.2892808974592392e-05
mh_2024_0004273,1081.995,22,9.5,6.121141236500484e-06
ffh_2024_0000009,1548.995,22,8.0,1.6655322976750995e-05
mh_2021_0000254,1739.995,22,9.0,4.6648511556575086e-05
mh_2020_0000018,768.995,22,10.0,1.8875388965934685e-05
mh_2019_0001913,873.995,22,10.5,6.219209750653989e-05
mh_2020_0000367,933.995,22,9.5,8.578634809094481e-06
mh_2019_0002178,1240.995,22,9.5,0.00014844287330793282
mh_2020_0000999,1808.995,22,8.0,0.0001450454095072858
mh_2021_0000708,1808.995,22,8.0,4.140441715301536e-05
mh_2019_0002074,819.995,22,8.5,0.0001313608941518296
mh_2024_0004292,1208.995,22,8.5,8.638302613073164e-05
mh_2020_0000121,899.995,22,8.0,8.372853371707268e-05
mh_2021_0000170,1732.995,22,8.0,1.166575258868352e-05
mh_2019_0002392,850.995,22,8.5,1.528227735827979e-05
mh_2019_0000228,1005.995,22,8.5,2.8455166671168818e-05
mh_2020_0000518,959.995,22,8.0,0.0001227645352673916
mh_2019_0001525,781.995,21,10.5,0.00021241269726479374
mh_2019_0000281,756.995,22,8.0,3.731426337888244e-05
mh_2019_0001340,969.995,22,9.0,1.696736231659694e-05
mh_2021_0000673,1499.995,22,10.5,5.2614579527489977e-05
ffh_2024_0000255,1550.995,22,8.0,4.065681567241212e-05
mh_2021_0000268,1799.995,22,9.5,9.00036741934123e-05
mh_2024_0004447,1382.995,22,9.0,3.723334954031081e-05
mh_2024_0004203,1496.995,22,9.5,1.0071080200050233e-05
mh_2019_0001236,839.995,22,8.0,0.00023464891379070948
mh_2024_0004274,1300.995,22,8.5,7.520267873866601e-06
mh_2024_0003531,1200.995,22,11.0,3.230356560735835e-05
mh_2024_0003940,1232.995,22,10.0,6.1532734504690225e-06
mh_2019_0000319,761.995,21,8.0,1.9502722526782535e-05
mh_2024_0003297,1019.995,22,8.5,1.0230665722724705e-05
mh_2019_0002229,782.995,22,8.5,1.445058653912192e-05
mh_2020_0000411,875.995,22,9.5,2.1813246285669206e-05
mh_2020_0001073,1799.995,22,8.0,0.00010558588301129028
mh_2020_0000983,1202.995,22,8.0,0.00013142528207731423
mh_2024_0003268,1007.995,21,8.0,0.0006183930139684882
mh_2019_0000741,678.995,21,9.0,0.00010346607387216478
mh_2024_0003992,752.995,22,9.0,2.1496665380676e-06
mh_2019_0000253,681.995,22,8.0,1.769780064959477e-05
mh_2020_0000013,1152.995,22,8.0,0.00017639752599247127
mh_2020_0000107,779.995,22,8.0,1.7121948414052938e-05
mh_2022_0000016,1683.995,22,8.0,4.047476458256931e-05
mh_2020_0000093,830.995,21,8.0,1.4652623859927312e-05
ffh_2024_0000143,1299.995,22,9.5,6.813909760712118e-05
mh_2019_0000657,773.995,22,8.5,1.896243518952376e-05
mh_2020_0000265,828.995,22,8.0,0.0002618580869758633
mh_2020_0000373,905.995,22,10.0,5.5254704288350184e-05
mh_2022_0000144,1381.995,22,8.0,6.987498789934897e-05
mh_2024_0004115,863.995,22,10.5,9.318987314310992e-06
mh_2020_0000685,1799.995,22,8.0,3.415610442390055e-05
mh_2024_0003925,1020.995,22,10.0,2.6513621050443753e-05
mh_2022_0000301,1208.995,22,9.5,2.7792705927878596e-05
ffh_2024_0000093,1584.995,22,9.5,0.00010001623134338966
mh_2019_0001578,671.995,22,9.5,6.142865745322723e-05
mh_2019_0001630,785.995,22,9.0,4.6081265465014915e-05
mh_2024_0003886,1034.995,22,9.5,4.070908567263449e-05
ffh_2024_0000117,1396.995,22,8.0,1.4715479035607731e-05
mh_2020_0000972,1800.995,22,10.0,6.234228428863049e-05
mh_2020_0000558,950.995,22,8.0,0.0002199832218742642
mh_2019_0002439,1380.995,22,10.0,4.537401435169979e-05
ffh_2024_0000299,1357.995,22,10.0,1.9248279526203683e-05
mh_2021_0000441,1594.995,22,8.0,0.00014233903557454587
mh_2022_0000322,959.995,22,12.0,4.371709840999048e-05
mh_2019_0000874,694.995,22,10.0,5.452815136089748e-05
mh_2019_0001083,688.995,21,9.5,5.889810655680073e-05
mh_2019_0001461,796.995,22,9.0,3.4720159768221486e-05
mh_2019_0000269,1296.995,22,8.0,8.392071316574984e-05
mh_2019_0000529,852.995,21,9.0,3.638096173210357e-05
mh_2022_0000195,1209.995,22,8.0,5.664575475731396e-05
mh_2021_0000595,1528.995,22,8.0,0.00022989119674305956
mh_2021_0000405,1800.995,22,9.0,4.897964593023357e-05
mh_2020_0000672,1228.995,22,9.0,4.183783561393164e-05
mh_2019_0000320,743.995,22,9.0,4.7558790837811044e-05
mh_2019_0000446,682.995,22,8.0,2.465399020047443e-05
mh_2020_0000130,684.995,22,8.5,1.3923735742723956e-05
mh_2019_0000645,767.995,22,8.0,6.455000421813133e-05
mh_2024_0004358,900.995,22,8.0,7.086837834825088e-05
mh_2020_0000401,850.995,22,8.0,5.472446430957822e-05
mh_2024_0004227,839.995,20,8.0,0.0005644357887216381
mh_2020_0000611,1026.995,21,10.5,0.0004848058320154836
mh_2019_0000351,844.995,22,10.0,3.883919177324903e-05
mh_2019_0000250,1056.995,22,10.0,3.4532787603639216e-05
mh_2024_0003545,947.995,22,10.0,1.0236207815517028e-05
mh_2020_0000868,1799.995,22,8.0,9.231349196806113e-06
mh_2019_0002051,959.995,22,9.5,4.407760328606686e-05
mh_2020_0000768,1799.995,22,9.5,4.9547817895859626e-05
mh_2019_0001469,761.995,22,9.5,5.048760753644575e-05
mh_2019_0001178,1231.995,22,9.0,1.533549969769823e-05
mh_2020_0000320,746.995,22,8.5,9.320504792492e-06
mh_2022_0000135,905.995,22,8.0,0.00031468961562802924
mh_2019_0002109,746.995,22,10.5,1.0142992722803029e-05
mh_2019_0002258,784.995,22,9.5,4.491601873746807e-05
mh_2019_0002235,759.995,22,10.0,2.592497366229751e-05
mh_2019_0002384,1080.995,22,9.0,3.757122634056736e-05
mh_2024_0003827,993.995,22,10.5,5.4036059884074623e-05
mh_2020_0001040,1800.995,22,11.0,6.0965986700794085e-05
mh_2019_0001686,692.995,22,10.0,3.041266383409457e-05
mh_2021_0000511,1799.995,22,9.5,2.297841305100805e-05
mh_2019_0002346,1137.995,22,8.5,1.7492139090003236e-05
mh_2024_0003784,968.995,22,9.5,0.0001345858550889238
mh_2020_0000021,757.995,22,10.0,1.53116015848225e-05
mh_2020_0000009,911.995,22,8.5,2.9704246213952433e-05
mh_2021_0000063,1799.995,21,8.5,0.00035561776255202724
mh_2024_0004243,906.995,22,8.0,1.0916406371476803e-05
mh_2019_0002140,839.995,22,10.5,4.64309112597229e-05
mh_2020_0000256,735.995,22,8.5,1.7168727441440254e-05
mh_2024_0003687,1140.995,22,9.5,3.6755218288047615e-06
mh_2019_0002084,1345.995,22,8.0,5.603875571187439e-05
mh_2022_0000344,1806.995,22,8.0,0.00020324978722214833
mh_2019_0001927,790.995,22,9.0,1.1175299145774865e-05
mh_2020_0000775,1139.995,22,9.5,3.967679541389228e-05
mh_2024_0003216,1084.995,22,9.5,8.789235368847107e-06
mh_2019_0001199,890.995,22,8.0,2.4879413765968977e-05
mh_2020_0000974,1799.995,22,8.0,0.00012611837785862694
mh_2019_0000424,721.995,22,10.0,1.9128369697872092e-05
mh_2019_0002407,810.995,22,8.0,0.00046718811496510016
mh_2024_0003883,1200.995,22,10.5,8.805708416124873e-05
mh_2019_0000430,690.995,22,8.0,1.479523041098538e-05
mh_2019_0002447,783.995,22,9.5,2.539693517075305e-05
mh_2021_0000823,1800.995,22,9.0,0.0001150563265711976
mh_2020_0000520,912.995,22,8.0,7.929012055464135e-06
mh_2020_0000043,720.995,22,9.5,2.4167905465616047e-05
mh_2024_0003644,991.995,22,10.5,6.755276538246067e-06
mh_2019_0002248,841.995,22,9.0,7.177126324408747e-05
mh_2024_0003647,723.995,22,8.0,9.604787881455742e-06
mh_2018_0000024,712.995,22,9.5,1.3665193661399248e-05
mh_2020_0000901,1800.995,22,11.0,0.00011414262471815087
mh_2020_0000673,1800.995,22,8.0,3.060037297290307e-05
mh_2018_0000080,723.995,22,8.0,9.991172953984864e-06
mh_2022_0000249,1397.995,22,8.0,1.5478942842725646e-05
ffh_2024_0000027,1352.995,22,10.0,2.7239755117017724e-05
ffh_2024_0000140,1283.995,22,8.5,1.3917276885580237e-05
mh_2019_0001838,887.995,21,8.5,4.42773605323878e-05
mh_2020_0000292,891.995,22,8.5,4.7836355072414485e-05
mh_2024_0004055,1130.995,21,8.0,0.0009742567844989487
mh_2019_0001116,719.995,22,8.5,2.6192788180426412e-05
mh_2019_0001896,1110.995,22,11.0,1.1001092512498347e-05
mh_2022_0000416,1365.995,22,9.0,2.731914183199813e-05
mh_2021_0000269,1784.995,22,8.0,2.359129802386489e-05
mh_2019_0001269,790.995,22,8.0,0.00016290128004692786
mh_2019_0000448,858.995,22,9.5,9.332529989152439e-05
mh_2020_0000716,1799.995,22,11.5,0.00012754934124354866
mh_2019_0001251,719.995,22,10.0,7.208223198145011e-05
mh_2019_0000514,819.995,21,9.5,5.634894040191659e-05
mh_2020_0001061,727.995,22,8.5,5.553114142732058e-06
mh_2021_0000749,1627.995,22,8.0,0.00019426128006877586
mh_2021_0000591,1501.995,22,8.5,3.0033558327977332e-05
mh_2024_0003826,981.995,22,9.5,3.228729544387898e-05
mh_2019_0000003,968.995,22,10.0,4.53932034199655e-05
mh_2020_0000063,779.995,22,10.0,1.948251339225588e-05
mh_2022_0000174,1582.995,22,9.0,1.700209732883706e-05
mh_2019_0001899,987.995,22,9.0,0.00016944637158730047
mh_2019_0001561,847.995,22,10.0,3.8033804267343635e-05
mh_2024_0003419,1718.995,22,9.0,6.998599798807414e-05
mh_2019_0002102,1074.995,22,8.0,9.100140580275161e-05
mh_2024_0004185,979.995,22,8.5,1.7142872891145307e-05
mh_2019_0002367,1267.995,22,8.5,2.564443997722203e-05
mh_2024_0004409,761.995,22,11.5,0.0001543540840627399
mh_2019_0002314,860.995,22,8.5,6.132546762982482e-05
mh_2020_0000258,673.995,21,10.5,1.4603865915486649e-05
mh_2019_0000412,1055.995,22,9.5,3.296338973091177e-05
mh_2024_0003485,1034.995,21,9.5,0.00035386581795554946
mh_2020_0000078,1079.995,22,9.5,1.3524451500435176e-05
mh_2019_0000098,746.995,22,8.0,1.427108449604124e-05
mh_2019_0000688,796.995,22,9.0,2.7141292732417313e-05
mh_2024_0003581,1204.995,22,9.5,4.203233113753681e-06
mh_2019_0001017,689.995,22,8.5,4.159686551298151e-05
mh_2019_0001660,985.995,22,8.0,0.0001933476060911856
mh_2020_0001217,1679.995,22,10.5,3.471190765347638e-05
